RiskAdjustedReturn,TransactionFrequency,TransactionFees,EstimatedAvgReturnPrivateAsset,EstimatedReturnPublicAsset,EstimatedAvgReturnCommodities,FuturePricesNaturalGas,SPVolatilityIndex,BloombergHedgeFundIndex,RealEstateIndex,SPPrivateEquityIndex,CreditScore,AccountType,RiskType,FinancialGoalUpdated,CustomerRevenueFall70,CustomerRevenueRecovery40,SentimentAnalysis,Churn
2,2,7,45,32,13,6,99,1898,2709,360,3,0,2,0,1,0,2,0
15,35,7,11,21,39,7,177,2235,2136,343,3,0,3,0,1,1,1,0
2,26,5,39,34,14,5,161,1690,3886,402,0,1,2,0,1,1,2,1
2,17,0,29,22,35,6,178,1228,2238,345,3,0,1,0,1,1,2,1
84,23,0,4,17,43,5,196,1671,2142,332,0,0,1,1,0,0,0,0
43,44,3,45,21,41,6,179,1222,2805,372,4,1,1,0,1,1,2,0
35,28,6,39,33,7,5,116,2232,3174,344,0,1,1,1,0,0,1,0
6,15,7,49,22,17,6,113,1063,2330,374,2,1,0,1,0,0,1,1
48,7,1,33,18,11,5,93,2312,3805,333,3,1,3,1,1,0,2,0
13,41,2,41,23,6,5,163,1635,3399,403,4,0,3,1,0,0,1,0
83,33,4,7,0,43,7,104,1257,3689,362,1,1,0,0,0,0,0,0
17,10,8,29,20,14,2,136,1591,1341,372,1,1,2,1,0,1,2,1
54,13,7,13,21,11,4,144,1789,2537,388,4,1,1,1,0,0,1,1
56,18,6,39,30,14,5,135,2170,2642,340,1,0,1,1,0,0,2,0
42,22,0,17,29,41,6,198,1167,2586,381,1,0,2,1,0,0,0,0
31,42,1,12,11,25,3,169,2355,3963,419,1,0,0,1,1,0,2,1
85,16,1,23,20,13,6,135,1077,3289,322,4,1,2,0,1,1,1,1
16,15,7,6,9,8,6,87,1601,3584,323,3,0,2,0,0,1,0,1
45,32,3,25,21,35,5,94,2438,1253,401,2,0,1,0,0,1,2,0
88,25,2,44,13,33,5,142,1043,3777,363,1,0,3,0,1,1,2,1
63,22,1,40,21,29,2,182,1618,3158,347,1,0,2,0,0,0,0,0
14,4,4,13,3,9,2,174,1080,3101,414,0,1,0,0,1,0,1,0
